ITA 12 เดือน ปีงบประมาณ 2569
ให้อัปโหลดไฟล์ทั้งหมดในโฟลเดอร์นี้เข้า GitHub main ที่ path: ita-12m-2569/

MOIT 4 | moit04_01.doc | MOIT4 รายงานผลของแผนการจัดซื้อจัดจ้างและการ
MOIT 5 | moit05_01.doc | MOIT5 ไตรมาส3 พ.ค.69
MOIT 5 | moit05_02.doc | MOIT5 ไตรมาส3 มิ.ย.69
MOIT 5 | moit05_03.doc | MOIT5 ไตรมาส3 เม.ย69
MOIT 5 | moit05_04.doc | MOIT5 ไตรมาส4 ก.ค.69
MOIT 5 | moit05_05.doc | MOIT5 ไตรมาส4 ส.ค.69
MOIT 7 | moit07_01.pdf | OK MOIT 7 หนังสือแจ้ง+ประกาศ ดีเด่น+ดีมาก รอบที่ 2-
MOIT 9 | moit09_01.docx | 9 MOIT แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 10 | moit10_01.docx | 9 MOIT แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 10 | moit10_02.pdf | 9 MOIT แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 10 | moit10_03.doc | MOIT10 บันทึกรายงานผลการดำเนินงานเรื่องร้องเรียน รอบ 12 เดือน
MOIT 10 | moit10_04.pdf | MOIT10 บันทึกรายงานผลการดำเนินงานเรื่องร้องเรียน รอบ 12 เดือน
MOIT 10 | moit10_05.pdf | MOIT10 บันทึกรายงานผลการดำเนินงานเรื่องร้องเรียน รอบ 12M
MOIT 10 | moit10_06.docx | MOIT10 แบบรายงานการจัดการเรื่องร้องเรียน 12 ด
MOIT 10 | moit10_07.pdf | MOIT10 แบบรายงานการจัดการเรื่องร้องเรียน 12 ด
MOIT 11 | moit11_01.docx | MOIT11 หนังสือแจ้งผู้ร้องเรียนภายใน๑๕วัน
MOIT 11 | moit11_02.pdf | MOIT11 หนังสือแจ้งผู้ร้องเรียนภายใน๑๕วัน
MOIT 12 | moit12_01.doc | 1. ประกาศเจตนารมณ์ ต่อต้านการทุจริต
MOIT 12 | moit12_02.docx | 12 MOIT แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 12 | moit12_03.pdf | 12 MOIT แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 12 | moit12_04.doc | MOIT12 บันทึกรายงานผลการดำเนินงานรายงานสรุปผลการกำกับติดตามมาตรการ การป้องกันการรับสินบน
MOIT 12 | moit12_05.pdf | MOIT12 บันทึกรายงานผลการดำเนินงานรายงานสรุปผลการกำกับติดตามมาตรการ การป้องกันการรับสินบน
MOIT 12 | moit12_06.pdf | มาตรการ การป้องกันการรับสินบน2569
MOIT 16 | moit16_01.docx | 10 เอกสารหมายเลข 4 ปฎิญญาคุณธรรม
MOIT 16 | moit16_02.pdf | 10 เอกสารหมายเลข 4 ปฎิญญาคุณธรรม
MOIT 16 | moit16_03.docx | 11 เอกสารหมายเลข 5 ครอบครัวอบอุ่นสรรสร้างคุ
MOIT 16 | moit16_04.pdf | 11 เอกสารหมายเลข 5 ครอบครัวอบอุ่นสรรสร้างคุ
MOIT 16 | moit16_05.doc | 12 เอกสารหมายเลข 6 รายงานผลฯ 69
MOIT 16 | moit16_06.pdf | 12 เอกสารหมายเลข 6 รายงานผลฯ 69
MOIT 16 | moit16_07.docx | 1 MOIT16 บันทึกเสนอผู้บริหารทราบ - 1.2
MOIT 16 | moit16_08.pdf | 1 MOIT16 บันทึกเสนอผู้บริหารทราบ - 1.2
MOIT 16 | moit16_09.docx | 1 MOIT16 บันทึกเสนอผู้บริหารทราบ
MOIT 16 | moit16_10.pdf | 1 MOIT16 บันทึกเสนอผู้บริหารทราบ
MOIT 16 | moit16_11.docx | 8 เอกสารหมายเลข 2 แผนฯ 69
MOIT 16 | moit16_12.pdf | 8 เอกสารหมายเลข 2 แผนฯ 69
MOIT 16 | moit16_13.docx | 9 เอกสารหมายเลข 3 กิจกรรมพอเพียง
MOIT 16 | moit16_14.pdf | 9 เอกสารหมายเลข 3 กิจกรรมพอเพียง
MOIT 16 | moit16_15.docx | MOIT 16 แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 16 | moit16_16.pdf | MOIT 16 แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 16 | moit16_17.docx | MOIT 16.2 แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 16 | moit16_18.pdf | MOIT 16.2 แบบฟอร์มเผยแพร่บนเว็บไซต์2569
MOIT 17 | moit17_01.docx | MOIT17 รายงานประเมินความเสี่ยงการทุจริต 2569
MOIT 17 | moit17_02.pdf | MOIT17 รายงานประเมินความเสี่ยงการทุจริต 2569
MOIT 19 | moit19_01.pdf | OK MOIT 19 เรี่ยไร
MOIT 22 | moit22_01.pdf | OK MOIT 22 รายงานผลล่วงละเมิดทางเพศ 12เดือน
